rel_time,cell1,cell2,cell3,cell4,rpm
0.0,9937,11127,10052,11940,849
0.10926008224487305,11052,9324,10203,10483,889
0.21436691284179688,7152,12327,10238,11566,959
0.3194010257720947,7400,11540,9714,12151,1168
0.42446208000183105,14993,13465,7052,12463,1028
0.529547929763794,10315,12301,7624,12412,1000
0.6310567855834961,10477,10812,8847,11391,761
0.7346417903900146,8267,12247,9551,11182,1051
0.8467309474945068,9439,12682,7636,12383,1156
0.9477150440216064,12080,13237,10489,11460,952
1.0583560466766357,13170,11369,7901,13231,987
1.1632251739501953,8967,11427,9581,11008,858
1.2704739570617676,9842,12245,9327,10982,767
1.3796749114990234,6825,14290,9426,11085,952
1.4850077629089355,10663,14838,8475,9738,1065
1.5906729698181152,11819,10795,8706,10220,1053
1.695706844329834,8537,10836,9633,10744,1135
1.799800157546997,11512,11292,9494,11671,914
1.9048759937286377,8240,12240,7490,7980,894
2.0099551677703857,9731,10932,8582,12689,655
2.1150331497192383,10318,13598,7520,9069,1141
2.2201180458068848,10960,11371,7496,9707,832
2.325192928314209,11355,12645,8611,12761,1119
2.4302620887756348,11131,10274,9086,9016,948
2.5346269607543945,10841,14252,10348,11819,1058
2.644744873046875,8476,12693,9622,9652,948
2.7523069381713867,10689,10910,9797,10666,783
2.8627710342407227,9827,11204,7303,8194,1134
2.968935966491699,7953,13960,8575,12289,1182
3.07588791847229,10965,9437,8474,10505,943
3.181938886642456,10421,12966,10431,12504,815
3.290074110031128,9181,11815,9810,9310,1085
3.3950982093811035,6498,12228,8469,10265,1119
3.5001327991485596,10802,14330,8191,10573,865
3.605163097381592,14816,13890,10094,13560,983
3.710239887237549,10909,12913,8957,9666,970
3.810682773590088,10770,10920,8044,14099,1043
3.9157397747039795,9426,10523,9148,11932,825
4.0207788944244385,13171,11342,8069,9596,770
4.125833988189697,8318,11056,8038,11804,1040
4.230859041213989,8996,11363,10447,11301,1190
4.345505952835083,7719,12390,8749,10628,864
4.4519758224487305,12533,11109,7783,11045,947
4.563589096069336,12557,13765,9045,12606,1262
4.668982028961182,9950,10429,6719,12664,838
4.772113800048828,8981,10862,8539,12782,822
4.879749774932861,8729,11284,9898,12478,1148
