rel_time,cell1,cell2,cell3,cell4,rpm
0.0,12898,10936,9643,12181,951
0.10664176940917969,11203,12363,10480,11569,850
0.21173715591430664,9102,10925,9256,10707,801
0.31681299209594727,9747,10958,9270,12151,878
0.42185401916503906,10878,12942,8165,10209,886
0.5268919467926025,11098,12988,9315,12532,943
0.6270787715911865,8155,12218,9383,11228,662
0.7320969104766846,11641,10748,7957,12408,696
0.8440370559692383,10269,14410,8322,12377,953
0.9492568969726562,9062,10826,9078,8190,889
1.0867371559143066,6013,12945,9491,11654,704
1.1918058395385742,8665,13392,9406,8782,1004
1.2968649864196777,11224,10663,10197,10816,929
1.4018919467926025,8865,9921,8870,13838,1076
1.506047010421753,8697,11674,9198,11726,1192
1.6118090152740479,9819,11559,8205,12155,846
1.716827154159546,10574,13689,11053,13199,1089
1.8218810558319092,8042,13555,8698,9979,1070
1.9246408939361572,11557,9225,10158,11895,944
2.031165838241577,12676,11281,9027,9142,859
2.1435718536376953,9454,12517,7955,9378,1074
2.2507481575012207,9313,9949,8806,10264,1117
2.3598439693450928,10960,9806,9334,11593,784
2.4676730632781982,12366,14072,8758,9347,1237
2.5772268772125244,10100,12589,10969,9457,1309
2.6823999881744385,9942,10577,8676,11093,1051
2.7935190200805664,8909,12069,10994,10400,831
2.898588180541992,10321,13198,7979,12113,805
3.003610134124756,8605,12510,8326,14022,847
3.106205940246582,9214,11431,8352,10450,1035
3.2112419605255127,4988,8906,7957,9545,1095
3.3162689208984375,8239,9567,7756,9446,1008
3.4198570251464844,9424,12670,7592,12090,1042
3.524948835372925,11992,10459,10516,12910,1029
3.6313960552215576,9746,12579,10751,12033,1005
3.742798089981079,8243,10972,7823,10580,1074
3.8500421047210693,9665,9626,9423,12212,1095
3.9611918926239014,10719,8699,9316,12103,924
4.07227897644043,10023,9749,8403,12232,864
4.177380084991455,11543,12077,9159,10340,985
4.291032075881958,7916,12751,8088,10636,800
4.396069049835205,14557,10904,7637,11898,1112
4.4996018409729,11881,12604,7909,10934,1113
4.604627847671509,9174,13000,8602,13307,939
4.709704875946045,8887,9279,10608,10619,823
4.8147759437561035,6937,12104,9603,9863,959
4.919810056686401,11143,14533,9422,9408,878
5.0248801708221436,7871,10497,9674,9764,914
5.131346940994263,9011,10053,9807,12415,1110
5.24321985244751,9492,9882,8811,8426,1256
5.350342750549316,7463,10608,9769,8265,1151
5.46141791343689,8080,13720,9528,12009,1142
5.568273067474365,8296,14149,9354,11702,1113
5.673398017883301,11530,15178,9697,8260,1281
5.77859902381897,9019,11544,7044,11946,1028
5.879103899002075,12151,11409,10706,11848,1124
5.98616099357605,8352,10149,10375,12761,1096
6.091250896453857,7449,12523,10296,10194,1020
6.196280002593994,11564,11930,9864,11262,1140
6.301297903060913,12565,11409,10347,10224,759
6.406313896179199,10101,10639,9644,11022,1389
6.511337995529175,9173,13378,9584,10460,1158
6.614864110946655,9813,10852,9721,11486,1124
6.71994686126709,9366,9762,8190,11332,928
6.825098991394043,11028,12056,8884,11410,1072
6.931185007095337,12244,13983,8984,10049,942
