rel_time,cell1,cell2,rpm
0.0,2026,-50,0
0.19826412200927734,1994,-54,0
0.3995819091796875,2004,-110,0
0.6004660129547119,2069,-167,0
0.800286054611206,2053,-97,0
1.0085680484771729,2020,-121,0
1.2042031288146973,2004,-104,0
1.4043478965759277,2016,-23,0
1.6191990375518799,2016,-127,0
1.819450855255127,1986,-112,0
2.011439085006714,2033,-172,0
2.2154700756073,2027,-27,0
2.4173672199249268,2028,-67,0
2.6187610626220703,2013,-115,0
2.819679021835327,2011,-146,0
3.0187931060791016,1983,-158,0
3.227893114089966,2009,-82,0
3.430091142654419,1956,-59,0
3.6293351650238037,2019,-34,0
3.8303160667419434,2006,-93,0
4.023603916168213,2038,-97,0
4.227200031280518,2052,-114,0
4.430244207382202,2043,-73,0
4.633953094482422,2026,-37,0
4.828917980194092,1990,-84,0
5.028041124343872,2004,-106,0
5.2316999435424805,2041,-60,0
5.430438041687012,1997,-31,0
5.634330987930298,2002,-96,0
5.83364200592041,2010,-60,0
6.0332350730896,1999,-69,0
6.237174987792969,1996,-116,0
6.44926118850708,2050,-182,0
6.640931129455566,2029,-140,0
6.839709043502808,2022,-131,0
7.039029121398926,2033,-78,0
7.24550199508667,2081,-82,0
7.450342893600464,2058,-142,0
7.64984917640686,2037,-129,0
7.848358869552612,2023,-157,0
8.046170949935913,2041,-184,0
8.248026847839355,1970,-174,0
8.449817895889282,1981,-170,0
8.654525995254517,2043,-14117,0
8.851787090301514,2012,-288,0
9.052734136581421,1979,-5136,0
9.256432056427002,2070,-14925,0
9.457382917404175,2067,-114,0
9.656931161880493,2097,-159,0
9.860064029693604,2056,-147,0
10.079577922821045,2077,-140,0
10.261568069458008,2090,-100,0
10.460100889205933,2118,-177,0
10.661529064178467,2110,-87,0
10.867103099822998,2123,-115,0
11.0778329372406,2074,-83,0
11.26573395729065,2134,-79,0
11.468865156173706,2102,-101,0
11.673873901367188,2112,-93,0
11.874498128890991,2004,-53,0
12.077192068099976,2065,-109,0
12.272160053253174,2060,-103,0
12.47512412071228,2004,-100,0
12.673469066619873,2094,-93,0
12.874953031539917,2052,-87,0
13.079365968704224,2051,-41,0
13.27787184715271,2086,-104,0
13.47883915901184,2074,-127,0
13.67861008644104,2064,-39,0
13.881668090820312,2047,-122,0
14.083132982254028,2095,-155,0
14.283483028411865,2083,-141,0
14.485255002975464,2044,-102,0
14.685034990310669,2066,-96,0
14.88595199584961,2056,-27,0
15.091349124908447,2053,-81,0
15.288878202438354,2077,-71,0
15.489834070205688,2072,-71,0
15.691720962524414,2075,-56,0
15.892735004425049,2051,-62,0
16.098607063293457,2044,-53,0
16.296536207199097,2035,-111,0
16.496656894683838,2059,-95,0
16.697420120239258,2057,-47,0
16.898173093795776,2069,-28,0
17.10157299041748,2166,-76,0
17.30101704597473,2131,-71,0
17.50202202796936,2126,-72,0
