rel_time,cell1,cell2,cell3,cell4,rpm
0.0,12020,10145,9775,14738,1119
0.1091609001159668,11900,12493,10333,12735,1113
0.21438193321228027,8476,13047,8156,9928,1061
0.31838011741638184,10503,12917,8979,12600,809
0.4292600154876709,9223,9517,9185,13280,1047
0.5351088047027588,8578,9945,8198,11536,1195
0.6411709785461426,11692,11083,8204,12101,1108
0.7462778091430664,11283,10275,7859,12007,1116
0.8600828647613525,6247,10507,8694,10554,915
0.9651219844818115,10517,13680,10378,10539,1149
1.0701699256896973,12108,13968,8207,12611,972
1.1752829551696777,8733,12434,7582,9827,1113
1.2804028987884521,9757,9971,8592,10043,673
1.3854358196258545,12062,9414,7030,11377,1094
1.4905171394348145,11811,12889,7613,9851,921
1.595541000366211,8371,13469,11193,11919,1064
1.7094757556915283,8387,12510,9431,9874,894
1.816467046737671,13499,12057,8814,10163,851
1.9277570247650146,5472,13167,8482,10754,1099
2.0348610877990723,6458,12014,8322,11607,974
2.1404130458831787,12053,11849,9063,13063,1150
2.2457070350646973,10265,10132,9017,12163,910
2.352301836013794,11641,11840,7856,9089,662
2.4595489501953125,9961,13444,8373,10572,718
2.5645840167999268,9519,13045,8196,14812,1248
2.6696300506591797,8574,12851,10768,9712,937
2.774722099304199,10724,14045,9938,9519,990
2.8798091411590576,8714,13553,9978,10515,1102
2.984898090362549,10067,10730,8525,8945,916
3.0899767875671387,7817,12147,9830,12480,1298
3.1950438022613525,10179,9690,10312,10641,1052
3.2999351024627686,10032,10826,8896,11041,1027
3.410742998123169,11165,10789,10384,10929,1233
3.517838954925537,8820,11793,9646,12263,1067
3.6272430419921875,10475,10494,7784,9852,979
3.73567795753479,11401,10037,9565,10493,1243
3.841411828994751,9461,12824,9575,11382,817
3.946974039077759,8895,13728,9979,12283,911
4.052915096282959,12842,10168,8141,11210,1049
4.159081935882568,10840,10589,9308,10236,951
4.264127969741821,14104,10766,8675,8063,902
4.369174957275391,9648,11321,7824,11257,1006
4.474260091781616,11476,10203,8111,12780,1333
4.579334020614624,10194,10368,7327,11630,1047
4.684402942657471,12215,13616,8246,9441,889
4.789483070373535,8761,11775,8682,12132,1087
4.894546985626221,9048,11761,9854,9053,1025
4.999562978744507,10607,10964,8329,10493,964
5.109982013702393,10402,11609,10252,10080,1153
5.21739387512207,9382,11918,7414,12470,1033
5.326647043228149,8490,10014,10460,9285,1047
5.434643030166626,11382,13821,8618,10158,989
